sector,field,weight,required_for_publish,customer_visible,coaching_message_key,exists_today,notes
food,logo,10,yes,yes,merchant.coach.logo,yes,stores.logo_url; on checklist (store-checklist.tsx:65)
food,cover,8,no,yes,merchant.coach.cover,yes,stores.cover_url; on checklist
food,description,10,yes,yes,merchant.coach.description,yes,stores.description; on checklist
food,brand_color,2,no,yes,merchant.coach.brandColor,yes,stores.accent_color; cosmetic - lowest weight on purpose
food,custom_link,4,no,yes,merchant.coach.customLink,yes,stores.slug; drives matjarlb.com/<slug>
food,hours,8,yes,yes,merchant.coach.hours,yes,stores.hours structured grid via parseHours (0244)
food,whatsapp,8,yes,yes,merchant.coach.whatsapp,yes,stores.whatsapp; primary contact channel in Lebanon
food,phone,4,no,yes,merchant.coach.phone,partial,stores.phone; collected at /merchant/new but never scored or nudged
food,region_area,4,yes,yes,merchant.coach.area,partial,stores.region + stores.area; optional on the create form
food,map_pin,8,yes,yes,merchant.coach.mapPin,partial,"stores.lat/lng; only in /edit and /settings, never nudged; 7 of 33 stores set"
food,menu_items,20,yes,yes,merchant.coach.menuItems,yes,"products where itemsKey=menu (modules.ts); checklist asks >=3 generically"
food,delivery_or_pickup,8,yes,yes,merchant.coach.fulfilment,partial,"stores.accepts_delivery / accepts_pickup + store_delivery_zones; set in /settings, never nudged"
food,prep_time,6,no,yes,merchant.coach.prepTime,partial,"stores.prep_time; set in /settings, never nudged; the answer to 'how long until my food arrives'"
retail,logo,10,yes,yes,merchant.coach.logo,yes,stores.logo_url; on checklist
retail,cover,8,no,yes,merchant.coach.cover,yes,stores.cover_url; on checklist
retail,description,10,yes,yes,merchant.coach.description,yes,stores.description; on checklist
retail,brand_color,2,no,yes,merchant.coach.brandColor,yes,stores.accent_color
retail,custom_link,4,no,yes,merchant.coach.customLink,yes,stores.slug
retail,hours,8,yes,yes,merchant.coach.hours,yes,stores.hours structured grid
retail,whatsapp,8,yes,yes,merchant.coach.whatsapp,yes,stores.whatsapp
retail,phone,4,no,yes,merchant.coach.phone,partial,stores.phone; collected but unscored
retail,region_area,4,yes,yes,merchant.coach.area,partial,stores.region + stores.area
retail,map_pin,8,yes,yes,merchant.coach.mapPin,partial,stores.lat/lng; the largest live gap
retail,products,20,yes,yes,merchant.coach.products,yes,"products table; checklist counts >=3 (page.tsx:584) - this is the one sector the generic step fits"
retail,product_photos,6,no,yes,merchant.coach.productPhotos,partial,"product images exist; no coverage check anywhere - a catalog of unphotographed rows scores full marks today"
retail,stock_or_availability,8,no,yes,merchant.coach.stock,no,"NEW WORK. products.stock exists but there is no shop-level availability signal; and 0 of 65 products carry a cost price (products.cost 0210) so margin-aware coaching is impossible"
services,logo,10,yes,yes,merchant.coach.logo,yes,stores.logo_url; on checklist
services,cover,8,no,yes,merchant.coach.cover,yes,stores.cover_url; on checklist
services,description,10,yes,yes,merchant.coach.description,yes,"stores.description; carries more weight here - a service buyer has no product photo to judge"
services,brand_color,2,no,yes,merchant.coach.brandColor,yes,stores.accent_color
services,custom_link,4,no,yes,merchant.coach.customLink,yes,stores.slug
services,hours,8,no,yes,merchant.coach.hours,yes,stores.hours; not publish-blocking - many trades have no fixed hours
services,whatsapp,8,yes,yes,merchant.coach.whatsapp,yes,stores.whatsapp
services,phone,4,yes,yes,merchant.coach.phone,partial,"stores.phone; publish-blocking here because requests is the sales channel"
services,region_area,4,yes,yes,merchant.coach.area,partial,stores.region + stores.area
services,map_pin,8,no,yes,merchant.coach.mapPin,partial,stores.lat/lng; not required - many service pros travel to the customer
services,services_offered,20,yes,yes,merchant.coach.servicesOffered,partial,"products with simplifiedItem=true (modules.ts); checklist says 'add 3 products' - wrong noun"
services,portfolio_items,6,no,yes,merchant.coach.portfolio,partial,"store_portfolio table + /portfolio page exist; 0 rows platform-wide; never nudged"
services,service_area,8,yes,yes,merchant.coach.serviceArea,no,"NEW WORK. Service areas exist only for craft_providers (craft_provider_areas / lb_areas 0235-0236); stores has no equivalent"
healthcare,logo,10,yes,yes,merchant.coach.logo,yes,stores.logo_url; on checklist
healthcare,cover,8,no,yes,merchant.coach.cover,yes,stores.cover_url; on checklist
healthcare,description,10,yes,yes,merchant.coach.description,yes,stores.description; on checklist
healthcare,brand_color,2,no,yes,merchant.coach.brandColor,yes,stores.accent_color
healthcare,custom_link,4,no,yes,merchant.coach.customLink,yes,stores.slug
healthcare,hours,8,yes,yes,merchant.coach.hours,yes,stores.hours; clinic hours are the most-asked question
healthcare,whatsapp,8,yes,yes,merchant.coach.whatsapp,yes,stores.whatsapp
healthcare,phone,4,yes,yes,merchant.coach.phone,partial,stores.phone; publish-blocking for a clinic
healthcare,region_area,4,yes,yes,merchant.coach.area,partial,stores.region + stores.area
healthcare,map_pin,8,yes,yes,merchant.coach.mapPin,partial,stores.lat/lng; a patient must be able to find the clinic
healthcare,services_offered,16,yes,yes,merchant.coach.servicesOffered,partial,products with simplifiedItem=true; bookable services
healthcare,practitioners,14,yes,yes,merchant.coach.practitioners,partial,"doctors table (2 rows) + /doctors page; sectorHasTeam(healthcare)=true but nothing ever nudges for it"
healthcare,specialties,4,no,yes,merchant.coach.specialties,partial,stores.specialties; free text in /settings behind isHealthcare
healthcare,license_verification,0,no,yes,merchant.coach.licence,partial,"store_verifications (0 rows). Weight held at 0 until the self-verification hole in 12_REVIEWS_TRUST.md SS4 is closed - do not score a badge that can be self-awarded"
realEstate,logo,10,yes,yes,merchant.coach.logo,yes,stores.logo_url; on checklist
realEstate,cover,8,no,yes,merchant.coach.cover,yes,stores.cover_url; on checklist
realEstate,description,10,yes,yes,merchant.coach.description,yes,stores.description; on checklist
realEstate,brand_color,2,no,yes,merchant.coach.brandColor,yes,stores.accent_color
realEstate,custom_link,4,no,yes,merchant.coach.customLink,yes,stores.slug
realEstate,hours,8,no,yes,merchant.coach.hours,yes,stores.hours; agency office hours
realEstate,whatsapp,8,yes,yes,merchant.coach.whatsapp,yes,stores.whatsapp
realEstate,phone,4,yes,yes,merchant.coach.phone,partial,stores.phone; leads arrive by phone in this sector
realEstate,region_area,4,yes,yes,merchant.coach.area,partial,stores.region + stores.area
realEstate,map_pin,8,no,yes,merchant.coach.mapPin,partial,"stores.lat/lng pins the agency office; the listing's own location matters more and is a separate gap"
realEstate,listings,22,yes,yes,merchant.coach.listings,partial,"products with itemsKey=listings; checklist says 'add 3 products' - wrong noun"
realEstate,listing_photos,8,yes,yes,merchant.coach.listingPhotos,partial,"a property listing without photos is not a listing; no coverage check exists"
realEstate,lead_contact,4,no,no,merchant.coach.leadContact,no,"leads module exists (3 rows) but no per-store declaration of how a lead should reach the agent"
automotive,logo,10,yes,yes,merchant.coach.logo,yes,stores.logo_url; on checklist
automotive,cover,8,no,yes,merchant.coach.cover,yes,stores.cover_url; on checklist
automotive,description,10,yes,yes,merchant.coach.description,yes,stores.description; on checklist
automotive,brand_color,2,no,yes,merchant.coach.brandColor,yes,stores.accent_color
automotive,custom_link,4,no,yes,merchant.coach.customLink,yes,stores.slug
automotive,hours,8,yes,yes,merchant.coach.hours,yes,stores.hours; showroom hours
automotive,whatsapp,8,yes,yes,merchant.coach.whatsapp,yes,stores.whatsapp
automotive,phone,4,yes,yes,merchant.coach.phone,partial,stores.phone
automotive,region_area,4,yes,yes,merchant.coach.area,partial,stores.region + stores.area
automotive,map_pin,8,yes,yes,merchant.coach.mapPin,partial,stores.lat/lng; a showroom is a place people drive to
automotive,listings,22,yes,yes,merchant.coach.listings,partial,"products with itemsKey=listings; sectors.ts comment says this sector is directory-only with a Leads inbox and no cart"
automotive,listing_photos,8,yes,yes,merchant.coach.listingPhotos,partial,no photo-coverage check exists
