sector,offering_type,primary_primitive,secondary_primitives,customer_cta,merchant_action,availability_model,pricing_model,confirmation_model,cancellation_model,current_support,gaps
food,Menu item,Commerce order,"Table reservation (bookings); delivery dispatch (delivery_requests); POS sale (pos_sales)",Add to cart then checkout,"Accept/prepare/ready/out_for_delivery/complete on merchant/[storeId]/orders; kitchen screen","products.stock + products.is_available; no time component",products.price with discount_price/flash_price plus product_options and product_modifier_groups,"place_customer_order or place_guest_order -> order_status 'pending'; merchant accepts; guard_order_status_transition trigger enforces legal moves",cancel_my_order while status='pending' only; merchant may cancel/reject; restore_stock_on_cancel and refund_loyalty_on_cancel unwind,full,"Table reservations bypass place_booking - reservation-form.tsx:59 inserts into bookings directly via RLS with no slot or capacity check; no seating/table entity so party_size is unconstrained; product_modifier_groups has 0 live rows"
retail,Physical good,Commerce order,"Variants (product_variants); inventory (stock_movements); delivery dispatch; cross-post to listings",Add to cart then checkout,Accept/prepare/ready/complete on orders screen; receive_stock; POS,products.stock decremented at order time; low_stock_threshold; stock_waitlist for back-in-stock,products.price / discount_price / flash_price; per-variant price override; coupons via validate_coupon,place_customer_order or place_guest_order -> 'pending'; merchant accepts,cancel_my_order while 'pending'; merchant cancel/reject,full,"No return/RMA entity - payment_kind='refund' records money but not goods; no per-item void; no shipment record for self-delivery or pickup; orders.custom_fields used by 0 of 7 live orders"
services,Service (item_kind='service'),Appointment,"Service request/quote (service_requests); portfolio (store_portfolio); commerce order for goods",Book an appointment; or Request a quote,"Accept/schedule/complete/no_show on bookings screen; quote/decline/start/complete via manage_service_request","booked_times + get_booking_busy read-side; provider_availability_rules/_exceptions; GiST exclusion constraints (inert - see gaps)",products.price or discount_price; booking coupon via place_booking p_coupon; quote_amount for negotiated work,"place_booking requires login -> booking_status 'pending'; merchant accepts. service_requests: pending -> quoted -> accepted/countered, every UPDATE guarded by a legal-predecessor WHERE clause","cancel_my_booking from pending/accepted/scheduled, enforcing stores.booking_cancel_hours notice window; manage_service_request action='cancel' from pending/quoted/countered/accepted",full,"An accepted quote never becomes an order, invoice or payment - 'completed' and 'paid' are indistinguishable; service_requests has no attachments and no scheduled date; store_portfolio has 0 live rows; no guest booking path"
healthcare,Service (item_kind='service'),Appointment,"Service request (service_requests); provider roster (doctors); commerce order for supplements",Book an appointment,Accept/schedule/complete/no_show; confirm_booking_attendance; manage providers on doctors screen,"get_booking_busy per doctor; pooled_providers auto-assigns a free doctor inside place_booking; provider_availability_rules (0 live rows) and _exceptions",products.price / discount_price; stores.booking_slot_minutes drives default duration,place_booking (login required) -> 'pending'; merchant accepts; join_booking_waitlist when full; scan_booking_reminders sends reminders,cancel_my_booking honouring stores.booking_cancel_hours; reschedule_booking for customer (pending only) or merchant (pending/accepted/scheduled),full,"provider_availability_rules has 0 live rows so no clinic has real hours configured; no patient record or visit history entity; no deposit or no-show fee despite 'no_show' in booking_status; no insurance claim model beyond a free-text stores.insurance"
realEstate,Property listing,Lead / inquiry,"Appointment for viewings (not wired); saved_searches; listings (unused by this sector)",Request a viewing / Make an offer / Contact,"Set status new->contacted->scheduled->negotiating->won/lost and assign via update_lead_status on merchant/[storeId]/leads",Not applicable - a lead is captured intent; no availability concept,"products.price with no sale-vs-rent distinction; attributes.purpose ('sale'|'rent') lives in jsonb",create_lead validates the store is active and the product belongs to it; rate-limits 5 per phone per store per hour; writes lead_activities 'created'; notifies owner,None - a lead has no customer-side withdraw,partial,"Held directory-only (store-experience.ts:35) so no cart. The customer can never see their own lead - leads_select_store is staff_can(store_id,'orders') with no customer_id branch. lead_status='scheduled' has no scheduled_at column and no bookings link, so a viewing cannot reach a calendar. No property entity: rooms/area/purpose live in products.attributes jsonb (6 of 65 products populated). 'won' has no conversion path"
automotive,Vehicle listing,Lead / inquiry,"listings (unused); saved_searches",Request a test drive / Make an offer / Contact,update_lead_status and assignment on leads screen,Not applicable,products.price; attributes.year/mileage/gearbox/fuel/condition in jsonb,create_lead -> lead_status 'new'; owner notified,None,partial,"Same lead-visibility and scheduling gaps as realEstate. No vehicle entity - all specs in products.attributes jsonb. Sector deliberately excluded from the cart (store-experience.ts:31) which is correct. leadKinds() defaults to test_drive (store-experience.ts:63)"
beauty,Service (item_kind='service'),Appointment,"Commerce order for retail products; provider roster (doctors as stylists)",Book an appointment,Accept/schedule/complete/no_show; confirm_booking_attendance,"booked_times/get_booking_busy per stylist; provider_exclusive and pooled_providers allocation modes",products.price / discount_price; duration_minutes + buffer_minutes drive slot length,place_booking (login required) -> 'pending'; merchant accepts,cancel_my_booking with stores.booking_cancel_hours window; reschedule_booking,full,"All 22 live bookings have starts_at NULL so the two GiST exclusion constraints protect nothing today; no deposit for high-value appointments; no guest booking"
fitness,Membership plan + class,Membership,"Class booking (bookings.class_id); appointment with trainers; commerce order",Subscribe to a plan / Book a class,"View members on merchant/[storeId]/members (READ-ONLY); create plans on memberships screen; create classes on classes screen","store_classes.capacity checked client-side via class_spots_taken only; memberships have no capacity concept",store_membership_plans.price + period (monthly|quarterly|yearly); store_classes.price,"subscribe_membership requires login, computes ends_on from period, blocks duplicate active rows - but there is NO merchant confirmation step",None - no cancel_membership RPC and no customer-side leave,partial,"store_memberships.status is text DEFAULT 'active' with no CHECK and nothing ever expires it - ends_on is computed once and never read, so a gym cannot answer who is a member today. Members screen is read-only: no suspend, cancel or extend. Plan price is displayed and never charged. Class bookings have no server-side capacity or overlap guard (TOCTOU race). 0 live memberships"
sportsCourts,Court/pitch timeslot,Reservation,"Membership (declared but unreachable); commerce order",Book a slot,Accept/complete on bookings screen; manage courts on resources screen,"store_resources.open_hour and close_hour integers only; resource_booked_times is a client-side read with no transactional guard",store_resources.price per slot,Direct INSERT into bookings via the bookings_insert_customer RLS policy - there is no place_resource_booking RPC; lands 'pending'; merchant accepts,cancel_my_booking; reschedule_booking,partial,"NO OVERLAP PROTECTION: neither exclusion constraint's WHERE predicate matches a resource_id booking, so two customers can book the same court for the same hour (6 live resource bookings). Availability is two integers - no per-weekday hours, no closures, no peak pricing. sectorConfig declares 'memberships' in features (sectors.ts:292) but modules.daily has no memberships module (sectors.ts:296-301), so a courts merchant can sell memberships they have no screen to manage"
education,Course,Enrollment,"Membership; appointment with tutors; class booking",Enroll in a course,"View enrolments on merchant/[storeId]/members (READ-ONLY); create courses on courses screen","NONE - store_courses has no capacity column, so a course cannot sell out",store_courses.price,"enroll_course requires login, blocks duplicate 'enrolled' rows, notifies owner - no merchant approval, no waitlist",None - no unenroll RPC and no customer-side withdraw,partial,"course_enrollments.status is text DEFAULT 'enrolled' with no CHECK. store_courses.schedule/duration/level are free text so a course has no start date, end date or session list and an enrolment can never expire. No capacity. No payment linkage. Members screen is read-only"
