issue_id,area,sector,severity,type,current_behavior,expected_behavior,evidence,recommended_fix,affected_file,status
MP-001,security,all,critical,authorization,"run_trial_maintenance() is SECURITY DEFINER with no internal authorization check and no REVOKE anywhere in 267 migrations, so any anonymous PostgREST caller can run it","A cron-only maintenance job is executable by the table owner only; anon and authenticated are revoked","supabase/migrations/0208_trial_lifecycle.sql:102-149; grep for run_trial_maintenance returns only the definition at :102 and the cron schedule at :154","Add: revoke execute on function public.run_trial_maintenance() from public, anon, authenticated;",supabase/migrations/0208_trial_lifecycle.sql,fixed
MP-002,security,all,critical,data-exposure,"get_push_subs(uuid,text) is granted to anon and returns any user's full Web Push subscription (endpoint/p256dh/auth) for an arbitrary p_uid when given the shared secret; the route then passes that secret as an RPC argument, where it can reach API and statement logs","Push subscription lookup runs under the service role; anon has no grant; the secret never travels as a function parameter","supabase/migrations/0049_push_on_events.sql:18-31; src/app/api/push/hook/route.ts:27-30; flagged unresolved as MJ-A02 in supabase/migrations/0196_emergency_hardening.sql:7","Call get_push_subs with adminClientIfConfigured() in the hook route, then revoke execute from anon and drop the p_secret parameter",src/app/api/push/hook/route.ts,fixed
MP-003,security,all,high,authorization,"can_manage_store() returns true for the owner or ANY store_staff row regardless of permissions, and it still gates store_employees (pay_rate, id_number), employee_attendance (lat/lng), employee_advances, employee_breaks, payroll_runs, payroll_lines, employee_devices, employee_enrolments, clock_attempts, leads and checkout_intents","HR, payroll and identity tables are readable only by the store owner or staff holding an explicit hr permission","supabase/migrations/0018_store_staff.sql:30-36 (definition); 0254_hr_employees_and_attendance.sql:97-110; 0255:47-57; 0261:86-95; 0258:44-45; 0190_lead_engine.sql:50-52; the intent is contradicted by the file's own comment at 0254:94-96; documented as permission-blind at 0232_staff_permissions_mean_something.sql:1-33","Add an hr key to the staff permission map and move the seven HR/payroll tables to is_store_owner(store_id) or staff_can(store_id,'hr'); move leads and checkout_intents to staff_can(store_id,'customers')",supabase/migrations/0254_hr_employees_and_attendance.sql,fixed
MP-004,security,all,high,data-exposure,"employee_enrolments.code is a plaintext 6-digit secret readable by any store_staff row, so a staffer can register their own phone against a colleague's employee record","Enrolment codes are hashed and readable only by the owner who issued them","supabase/migrations/0261_clock_in_from_the_employees_own_phone.sql:54 (plaintext column) and :94-95 (can_manage_store read policy); the anti-buddy-punching goal is stated at 0261:9-16",Hash the code and scope the read policy to is_store_owner; closed as a side effect of MP-003,supabase/migrations/0261_clock_in_from_the_employees_own_phone.sql,fixed
MP-005,privacy,all,high,compliance,"The privacy policy is four hardcoded bullet points claiming only account, orders and bookings are collected, while the platform also stores pre-order phone numbers, employee GPS, national ID numbers, store-visit telemetry, search logs, device push tokens and Vercel Analytics","A policy enumerating every collected data type with retention periods and a self-serve deletion route, sufficient to back Apple App Privacy and Google Play Data Safety declarations","src/app/[lang]/(site)/privacy/page.tsx:33-46; contradicted by supabase/migrations/0120_abandoned_cart.sql:29-39, 0254 (lat/lng and id_number), 0161:29-36, 0216:91, 0067","Rewrite the policy against the actual data map; add an account-deletion route (Play Store now requires a self-serve URL)","src/app/[lang]/(site)/privacy/page.tsx",fixed
MP-006,security,all,high,abuse,"record_checkout_intent is granted to anon with no rate limit, so anyone can insert arbitrary phone numbers and names against any active store; 30 minutes later the merchant is notified with a one-tap wa.me link to that number, and checkout_intents grows unbounded","Guest writes are rate-limited per phone the way create_lead already is","supabase/migrations/0120_abandoned_cart.sql:65-110 (grant to anon at :108-109) and :145-190 (scanner); contrast create_lead's 5-per-phone-per-hour cap at 0190_lead_engine.sql:98-104",Apply the create_lead rate-limit shape to record_checkout_intent and require a stronger phone plausibility check than length >= 4,supabase/migrations/0120_abandoned_cart.sql,fixed
MP-007,privacy,all,high,consent,"The checkout phone field fires record_checkout_intent on blur, sending the customer's phone, name and cart to the merchant before any order is placed and with nothing on screen indicating a disclosure","Capture happens only on a deliberate forward step, with one line of copy stating the shop may follow up",src/components/store-products.tsx:1405-1411 (onBlur handler) and :406-428 (the call); privacy page claims the opposite at src/app/[lang]/(site)/privacy/page.tsx:36,"Move the call to the review step or a failed first submit, and add a disclosure line under the phone field",src/components/store-products.tsx,fixed
MP-008,security,services,medium,abuse,"craft_requests INSERT policy has no TO clause and no rate limit, so anon can write unbounded rows carrying phone, home address and photos into a tradesman's inbox","Guest craft requests go through a rate-limited RPC, as leads do",supabase/migrations/0239_craft_requests_and_reviews.sql:70-74; contrast 0190_lead_engine.sql:98-104,Replace the insert policy with an RPC carrying the create_lead rate limit,supabase/migrations/0239_craft_requests_and_reviews.sql,fixed
MP-009,security,services,high,integrity,"craft_requests UPDATE has no WITH CHECK, so a customer can set their own request to completed (unlocking a ""verified"" craft review) and can reassign the request to a different provider, pushing their address and phone to a tradesman who never received it","Status transitions to completed are provider-only; provider_id is immutable after creation","supabase/migrations/0239_craft_requests_and_reviews.sql:77-82 (policy) and :88-98 (craft_reviews_write requires status = 'completed')","Add WITH CHECK pinning provider_id and restricting status transitions; the review precondition is otherwise self-attestable",supabase/migrations/0239_craft_requests_and_reviews.sql,fixed
MP-010,privacy,all,medium,data-exposure,"reviews, product_reviews, craft_reviews and product_questions are all SELECT USING (true) while exposing customer_id / asker_id, so an anonymous client can join across them and rebuild any user's full review and question history platform-wide","Public review projections carry a display name but no stable user identifier","supabase/migrations/0009_reviews.sql:23-25; 0050_product_reviews.sql:19-20; 0239_craft_requests_and_reviews.sql:85; 0051_qa_and_counts.sql:33-34; profiles itself is correctly private at 0054_rls_consolidation.sql:156-161",Remove customer_id from the anon-visible projection via column grants or a public view; keep customer_name,supabase/migrations/0009_reviews.sql,open
