issue_id,business_type,category,subcategory,current_transaction_model,recommended_transaction_model,current_problem,affected_user,competitor_reference,missing_fields,missing_modules,trust_gap,conversion_impact,severity,recommended_solution,phase,development_effort,dependencies,affected_files,status
MJ-001,hospitality,فنادق وشاليهات,hotel/chalet,"C (appointment, hourly)","D (accommodation date-range)","room booked by the hour; no check-in/out range, nights, guests, per-night pricing; double-booking inevitable","customer+merchant","Booking.com,Airbnb,Agoda","check_in,check_out,nights,adults,children,infants,unit_count,per_night_price,seasonal_rate,min_stay,cleaning_fee,deposit","stay-engine,units,availability-calendar,rate-plans","no verified property, no real guest reviews, no final price breakdown",critical,critical,"Build Model D engine (units + unit_availability + rate_plans + date-range bookings); pull hospitality off hourly path immediately",MVP,XL,"18-#1,sector_definitions",src/lib/modules.ts;bookings schema;store/[id]/page.tsx,done
MJ-002,automotive,سيارات ونقل,vehicle-sale,"A (cart COD)","J listing + H lead","car sold via add-to-cart + delivery zone + change-for; no contact-dealer/test-drive","customer+merchant","AutoTrader,CarGurus","engine,color,body,warranty,financing,inspection,history,seller_verified","leads","no seller identity, no inspection, no verified listing",critical,critical,"Switch to listing+lead; add leads table; remove cart/COD for vehicles",MVP,L,"18-#2 leads",modules.ts;attributes.ts;store-products.tsx,done
MJ-003,automotive,سيارات ونقل,car-rental,"none (orphan rentals flag)","D (date-range rental)","rentals feature has no engine; no pickup/return dates, deposit, mileage policy","customer+merchant","Turo,Rentalcars","pickup_at,return_at,location,driver_age,deposit,mileage_policy,insurance","stay-engine","no availability trust",critical,critical,"Reuse accommodation date-range engine for rentals",Phase 2,L,"MJ-001 engine",modules-catalog.ts;bookings,open
MJ-004,realEstate,عقارات,property,"C (appointment) — no request form","I listing + H lead","listing on clinic-style slot calendar; un-actionable; no lead capture; CTA=Visit store","customer(lead)+agent","Bayut,Property Finder,Zillow","viewing_request,agent_identity,map_search,listing_verified","leads,listings-typed","no verified listing, no agent identity, fraud risk",critical,critical,"listing+lead model; leads table; request-viewing CTA; typed attrs w/ ranges",MVP,L,"18-#2 leads",store/[id]/page.tsx;booking-panel.tsx,done
MJ-005,"beauty,petCare,professional,education",متعدّد,appointment-sectors,"declared appointments, renders product grid","C (appointment)","good place_booking engine hardcoded-gated to {services,healthcare,realEstate}; these fall to product grid","customer+merchant","Fresha,Booksy,Doctolib","-","-","salon/vet/lawyer looks like a shop",critical,high,"Derive booking surface from resolveStoreModules instead of hardcoded bookingCategories (ZERO DB)",MVP,S,"none",store/[id]/page.tsx;store-products-section.tsx,done
MJ-006,"professional,contractors,realEstate,automotive",متعدّد,request-sectors,"declared requests, no public form","F/G/H","ServiceRequestForm hardcoded to services/healthcare only; declared requests never render","customer+merchant","Thumbtack,Houzz","-","-","leaks to WhatsApp untracked",high,high,"Drive request form from enabled modules; unify page gating",MVP,S,"MJ-005",store/[id]/page.tsx;service-request-form.tsx,done
MJ-007,food,مطاعم ومأكولات,restaurant,"A/B (flat options)","B (modifiers)","product_options flat optional only; no required/min/max modifier groups; no item note","customer","Uber Eats,Toast","modifier_group(required,min,max),item_note","-","wrong order composition",high,high,"Add modifier_groups + modifier_options; order_items.note; expand order RPC",MVP,M,"place_order RPC",product_options schema;product-order.tsx,done
MJ-008,food,مطاعم ومأكولات,restaurant,"A (immediate only)","B scheduled","no scheduled_for; no pre-orders/delivery windows","customer","Deliveroo,Talabat","scheduled_for,delivery_windows","-","-",medium,medium,"Add orders.scheduled_for + store_delivery_windows",Phase 2,M,"none",orders schema,open
MJ-009,pharmacy,صيدليات ومختبرات,pharmacy-vs-lab,"A (commerce)","A (pharmacy) + C (lab)","pharmacy and lab conflated in one commerce sector; lab test sold as shippable product","customer","Vezeeta labs","rx_upload,rx_required,fasting,home_visit,test_packages","lab-appointments","no compliance disclaimer",high,high,"Split lab into appointment/sample flow; add prescription upload + restricted items",Phase 2,L,"sector_definitions",attributes.ts;orders schema,open
MJ-010,"farm,retail",مزارع ومنتجات محلية,grocery,"A (fixed price)","A (weight/unit)","no per-kg/unit pricing; no substitutions; no delivery windows","customer","Instacart,Carrefour","sold_by,unit_price_per,substitution_pref,delivery_window","-","-",medium,medium,"Add products.sold_by + weight pricing + delivery windows",Phase 2,M,"MJ-008",products schema,open
