sector,module,required,optional,display_order,customer_visible,merchant_editable,admin_configurable,dependency,notes
food,catalog,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:185); nothing renders. DESCRIBED: declared at modules-catalog.ts:60 but zero readers in src/; the product grid renders regardless
food,menu,yes,no,3,no,yes,no,,Primary engine for this sector. In bundle at sectors.ts:185. DESCRIBED: zero readers; the menu heading comes from a slug switch at page.tsx:499-504 not from this module
food,orders,yes,no,3,ungated,yes,no,,Primary engine for this sector. In bundle at sectors.ts:185. DESCRIBED: cart comes from experience.canOrderProducts which store-experience.ts:183 sets to a flat true; module flag never read
food,inventory,no,no,0,no,yes,no,catalog,Not in this sector's bundle (sectors.ts:185); nothing renders. DESCRIBED: no public surface; merchant route /merchant/[id]/inventory exists
food,delivery,no,yes,6,ungated,yes,no,orders,In sector default bundle at sectors.ts:185; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: store-delivery-options renders on couriers rows (page.tsx:580) and zones fetch at page.tsx:398 with no module check
food,pos,no,no,0,no,yes,no,catalog,Not in this sector's bundle (sectors.ts:185); nothing renders. DESCRIBED: in-store only; correctly has no public surface
food,appointments,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:185); nothing renders. DESCRIBED: read by store-experience.ts:117 to pick the appointment surface
food,timeslot,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:185); nothing renders. DESCRIBED: gates the store_resources fetch at page.tsx:216
food,classes,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:185); nothing renders. DESCRIBED: gates the store_classes fetch at page.tsx:236; store_classes holds 1 row in production
food,reservations,no,yes,4,yes,partial,no,,In sector default bundle at sectors.ts:185; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: gates ReservationForm at page.tsx:661; no table/party-size model behind it
food,memberships,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:185); nothing renders. DESCRIBED: gates the plans fetch at page.tsx:226; store_memberships holds 0 rows in production
food,rentals,no,no,0,no,no,no,timeslot,Not in this sector's bundle (sectors.ts:185); nothing renders. DESCRIBED: zero readers anywhere in src/; pulls timeslot in via withDependencies
food,requests,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:185); nothing renders. DESCRIBED: read by store-experience.ts:118 to show the service-request form
food,listings,no,no,0,no,partial,no,,Not in this sector's bundle (sectors.ts:185); nothing renders. DESCRIBED: zero readers; listings render through the generic catalog surface
food,portfolio,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:185); nothing renders. DESCRIBED: gates the fetch at page.tsx:247; store_portfolio holds 0 rows in production despite a complete merchant UI
food,courses,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:185); nothing renders. DESCRIBED: gates the fetch at page.tsx:257
food,team,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:185); nothing renders. DESCRIBED: gated by sectorHasTeam (sectors.ts:438) which reads the SECTOR default and ignores the store_modules override - a bug
food,reviews,no,yes,8,ungated,no,no,,In sector default bundle at sectors.ts:185; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: StoreReviews renders on store.isReal alone (page.tsx:714); the module flag is never read; 5 rows across 11 stores
food,verifications,no,no,0,no,yes,yes,,Not in this sector's bundle (sectors.ts:185); nothing renders. DESCRIBED: gates StoreVerifications at page.tsx:706; the only module with an admin review queue
food,location,no,yes,7,yes,yes,no,,In sector default bundle at sectors.ts:185; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: gates the map at page.tsx:584; only 3 of 11 active stores carry coordinates
food,marketing,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:185); nothing renders. DESCRIBED: zero readers; no public offers surface exists
food,messaging,no,yes,0,ungated,yes,no,,In sector default bundle at sectors.ts:185; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: MessageStoreButton renders on store.isReal (store-header.tsx:181); module flag never read
food,media,no,yes,5,no,partial,no,,In sector default bundle at sectors.ts:185; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: zero readers anywhere in src/; no store-level gallery table exists
retail,catalog,yes,no,2,no,yes,no,,Primary engine for this sector. In bundle at sectors.ts:198. DESCRIBED: declared at modules-catalog.ts:60 but zero readers in src/; the product grid renders regardless
retail,menu,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:198); nothing renders. DESCRIBED: zero readers; the menu heading comes from a slug switch at page.tsx:499-504 not from this module
retail,orders,yes,no,2,ungated,yes,no,,Primary engine for this sector. In bundle at sectors.ts:198. DESCRIBED: cart comes from experience.canOrderProducts which store-experience.ts:183 sets to a flat true; module flag never read
retail,inventory,no,yes,0,no,yes,no,catalog,In sector default bundle at sectors.ts:198; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: no public surface; merchant route /merchant/[id]/inventory exists
retail,delivery,no,yes,4,ungated,yes,no,orders,In sector default bundle at sectors.ts:198; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: store-delivery-options renders on couriers rows (page.tsx:580) and zones fetch at page.tsx:398 with no module check
retail,pos,no,no,0,no,yes,no,catalog,Not in this sector's bundle (sectors.ts:198); nothing renders. DESCRIBED: in-store only; correctly has no public surface
retail,appointments,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:198); nothing renders. DESCRIBED: read by store-experience.ts:117 to pick the appointment surface
retail,timeslot,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:198); nothing renders. DESCRIBED: gates the store_resources fetch at page.tsx:216
retail,classes,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:198); nothing renders. DESCRIBED: gates the store_classes fetch at page.tsx:236; store_classes holds 1 row in production
retail,reservations,no,no,0,no,partial,no,,Not in this sector's bundle (sectors.ts:198); nothing renders. DESCRIBED: gates ReservationForm at page.tsx:661; no table/party-size model behind it
retail,memberships,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:198); nothing renders. DESCRIBED: gates the plans fetch at page.tsx:226; store_memberships holds 0 rows in production
retail,rentals,no,no,0,no,no,no,timeslot,Not in this sector's bundle (sectors.ts:198); nothing renders. DESCRIBED: zero readers anywhere in src/; pulls timeslot in via withDependencies
retail,requests,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:198); nothing renders. DESCRIBED: read by store-experience.ts:118 to show the service-request form
retail,listings,no,no,0,no,partial,no,,Not in this sector's bundle (sectors.ts:198); nothing renders. DESCRIBED: zero readers; listings render through the generic catalog surface
retail,portfolio,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:198); nothing renders. DESCRIBED: gates the fetch at page.tsx:247; store_portfolio holds 0 rows in production despite a complete merchant UI
retail,courses,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:198); nothing renders. DESCRIBED: gates the fetch at page.tsx:257
retail,team,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:198); nothing renders. DESCRIBED: gated by sectorHasTeam (sectors.ts:438) which reads the SECTOR default and ignores the store_modules override - a bug
retail,reviews,no,yes,8,ungated,no,no,,In sector default bundle at sectors.ts:198; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: StoreReviews renders on store.isReal alone (page.tsx:714); the module flag is never read; 5 rows across 11 stores
retail,verifications,no,no,0,no,yes,yes,,Not in this sector's bundle (sectors.ts:198); nothing renders. DESCRIBED: gates StoreVerifications at page.tsx:706; the only module with an admin review queue
retail,location,no,yes,7,yes,yes,no,,In sector default bundle at sectors.ts:198; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: gates the map at page.tsx:584; only 3 of 11 active stores carry coordinates
retail,marketing,no,yes,3,no,yes,no,,In sector default bundle at sectors.ts:198; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: zero readers; no public offers surface exists
retail,messaging,no,yes,0,ungated,yes,no,,In sector default bundle at sectors.ts:198; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: MessageStoreButton renders on store.isReal (store-header.tsx:181); module flag never read
retail,media,no,yes,6,no,partial,no,,In sector default bundle at sectors.ts:198; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: zero readers anywhere in src/; no store-level gallery table exists
services,catalog,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:211); nothing renders. DESCRIBED: declared at modules-catalog.ts:60 but zero readers in src/; the product grid renders regardless
services,menu,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:211); nothing renders. DESCRIBED: zero readers; the menu heading comes from a slug switch at page.tsx:499-504 not from this module
services,orders,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:211); nothing renders. DESCRIBED: cart comes from experience.canOrderProducts which store-experience.ts:183 sets to a flat true; module flag never read
services,inventory,no,no,0,no,yes,no,catalog,Not in this sector's bundle (sectors.ts:211); nothing renders. DESCRIBED: no public surface; merchant route /merchant/[id]/inventory exists
services,delivery,no,no,0,no,yes,no,orders,Not in this sector's bundle (sectors.ts:211); nothing renders. DESCRIBED: store-delivery-options renders on couriers rows (page.tsx:580) and zones fetch at page.tsx:398 with no module check
services,pos,no,no,0,no,yes,no,catalog,Not in this sector's bundle (sectors.ts:211); nothing renders. DESCRIBED: in-store only; correctly has no public surface
services,appointments,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:211); nothing renders. DESCRIBED: read by store-experience.ts:117 to pick the appointment surface
services,timeslot,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:211); nothing renders. DESCRIBED: gates the store_resources fetch at page.tsx:216
services,classes,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:211); nothing renders. DESCRIBED: gates the store_classes fetch at page.tsx:236; store_classes holds 1 row in production
services,reservations,no,no,0,no,partial,no,,Not in this sector's bundle (sectors.ts:211); nothing renders. DESCRIBED: gates ReservationForm at page.tsx:661; no table/party-size model behind it
services,memberships,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:211); nothing renders. DESCRIBED: gates the plans fetch at page.tsx:226; store_memberships holds 0 rows in production
services,rentals,no,no,0,no,no,no,timeslot,Not in this sector's bundle (sectors.ts:211); nothing renders. DESCRIBED: zero readers anywhere in src/; pulls timeslot in via withDependencies
services,requests,yes,no,3,yes,yes,no,,Primary engine for this sector. In bundle at sectors.ts:211. DESCRIBED: read by store-experience.ts:118 to show the service-request form
services,listings,no,no,0,no,partial,no,,Not in this sector's bundle (sectors.ts:211); nothing renders. DESCRIBED: zero readers; listings render through the generic catalog surface
services,portfolio,no,yes,2,yes,yes,no,,In sector default bundle at sectors.ts:211; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: gates the fetch at page.tsx:247; store_portfolio holds 0 rows in production despite a complete merchant UI
services,courses,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:211); nothing renders. DESCRIBED: gates the fetch at page.tsx:257
services,team,no,yes,0,sector-only,yes,no,,RECOMMENDED ADD: technicians/crew are a real roster for this sector. Not in the bundle at sectors.ts:211 today. DESCRIBED: gated by sectorHasTeam (sectors.ts:438) which reads the SECTOR default and ignores the store_modules override - a bug
services,reviews,no,yes,6,ungated,no,no,,In sector default bundle at sectors.ts:211; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: StoreReviews renders on store.isReal alone (page.tsx:714); the module flag is never read; 5 rows across 11 stores
services,verifications,no,yes,5,yes,yes,yes,,In sector default bundle at sectors.ts:211; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: gates StoreVerifications at page.tsx:706; the only module with an admin review queue
services,location,no,yes,7,yes,yes,no,,In sector default bundle at sectors.ts:211; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: gates the map at page.tsx:584; only 3 of 11 active stores carry coordinates
services,marketing,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:211); nothing renders. DESCRIBED: zero readers; no public offers surface exists
services,messaging,no,yes,0,ungated,yes,no,,In sector default bundle at sectors.ts:211; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: MessageStoreButton renders on store.isReal (store-header.tsx:181); module flag never read
services,media,no,yes,0,no,partial,no,,In sector default bundle at sectors.ts:211; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: zero readers anywhere in src/; no store-level gallery table exists
healthcare,catalog,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:224); nothing renders. DESCRIBED: declared at modules-catalog.ts:60 but zero readers in src/; the product grid renders regardless
healthcare,menu,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:224); nothing renders. DESCRIBED: zero readers; the menu heading comes from a slug switch at page.tsx:499-504 not from this module
healthcare,orders,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:224); nothing renders. DESCRIBED: cart comes from experience.canOrderProducts which store-experience.ts:183 sets to a flat true; module flag never read
healthcare,inventory,no,no,0,no,yes,no,catalog,Not in this sector's bundle (sectors.ts:224); nothing renders. DESCRIBED: no public surface; merchant route /merchant/[id]/inventory exists
healthcare,delivery,no,no,0,no,yes,no,orders,Not in this sector's bundle (sectors.ts:224); nothing renders. DESCRIBED: store-delivery-options renders on couriers rows (page.tsx:580) and zones fetch at page.tsx:398 with no module check
healthcare,pos,no,no,0,no,yes,no,catalog,Not in this sector's bundle (sectors.ts:224); nothing renders. DESCRIBED: in-store only; correctly has no public surface
healthcare,appointments,yes,no,4,yes,yes,no,,Primary engine for this sector. In bundle at sectors.ts:224. DESCRIBED: read by store-experience.ts:117 to pick the appointment surface
healthcare,timeslot,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:224); nothing renders. DESCRIBED: gates the store_resources fetch at page.tsx:216
healthcare,classes,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:224); nothing renders. DESCRIBED: gates the store_classes fetch at page.tsx:236; store_classes holds 1 row in production
healthcare,reservations,no,no,0,no,partial,no,,Not in this sector's bundle (sectors.ts:224); nothing renders. DESCRIBED: gates ReservationForm at page.tsx:661; no table/party-size model behind it
healthcare,memberships,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:224); nothing renders. DESCRIBED: gates the plans fetch at page.tsx:226; store_memberships holds 0 rows in production
healthcare,rentals,no,no,0,no,no,no,timeslot,Not in this sector's bundle (sectors.ts:224); nothing renders. DESCRIBED: zero readers anywhere in src/; pulls timeslot in via withDependencies
healthcare,requests,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:224); nothing renders. DESCRIBED: read by store-experience.ts:118 to show the service-request form
healthcare,listings,no,no,0,no,partial,no,,Not in this sector's bundle (sectors.ts:224); nothing renders. DESCRIBED: zero readers; listings render through the generic catalog surface
healthcare,portfolio,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:224); nothing renders. DESCRIBED: gates the fetch at page.tsx:247; store_portfolio holds 0 rows in production despite a complete merchant UI
healthcare,courses,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:224); nothing renders. DESCRIBED: gates the fetch at page.tsx:257
healthcare,team,no,yes,2,sector-only,yes,no,,In sector default bundle at sectors.ts:224; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: gated by sectorHasTeam (sectors.ts:438) which reads the SECTOR default and ignores the store_modules override - a bug
healthcare,reviews,no,yes,7,ungated,no,no,,In sector default bundle at sectors.ts:224; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: StoreReviews renders on store.isReal alone (page.tsx:714); the module flag is never read; 5 rows across 11 stores
healthcare,verifications,no,yes,5,yes,yes,yes,,In sector default bundle at sectors.ts:224; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: gates StoreVerifications at page.tsx:706; the only module with an admin review queue
healthcare,location,no,yes,8,yes,yes,no,,In sector default bundle at sectors.ts:224; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: gates the map at page.tsx:584; only 3 of 11 active stores carry coordinates
healthcare,marketing,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:224); nothing renders. DESCRIBED: zero readers; no public offers surface exists
healthcare,messaging,no,yes,0,ungated,yes,no,,In sector default bundle at sectors.ts:224; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: MessageStoreButton renders on store.isReal (store-header.tsx:181); module flag never read
healthcare,media,no,yes,0,no,partial,no,,In sector default bundle at sectors.ts:224; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: zero readers anywhere in src/; no store-level gallery table exists
realEstate,catalog,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:237); nothing renders. DESCRIBED: declared at modules-catalog.ts:60 but zero readers in src/; the product grid renders regardless
realEstate,menu,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:237); nothing renders. DESCRIBED: zero readers; the menu heading comes from a slug switch at page.tsx:499-504 not from this module
realEstate,orders,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:237); nothing renders. DESCRIBED: cart comes from experience.canOrderProducts which store-experience.ts:183 sets to a flat true; module flag never read
realEstate,inventory,no,no,0,no,yes,no,catalog,Not in this sector's bundle (sectors.ts:237); nothing renders. DESCRIBED: no public surface; merchant route /merchant/[id]/inventory exists
realEstate,delivery,no,no,0,no,yes,no,orders,Not in this sector's bundle (sectors.ts:237); nothing renders. DESCRIBED: store-delivery-options renders on couriers rows (page.tsx:580) and zones fetch at page.tsx:398 with no module check
realEstate,pos,no,no,0,no,yes,no,catalog,Not in this sector's bundle (sectors.ts:237); nothing renders. DESCRIBED: in-store only; correctly has no public surface
realEstate,appointments,no,yes,5,yes,yes,no,,In sector default bundle at sectors.ts:237; merchant may switch it off at /merchant/[id]/modules. DESCRIBED: read by store-experience.ts:117 to pick the appointment surface
realEstate,timeslot,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:237); nothing renders. DESCRIBED: gates the store_resources fetch at page.tsx:216
realEstate,classes,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:237); nothing renders. DESCRIBED: gates the store_classes fetch at page.tsx:236; store_classes holds 1 row in production
realEstate,reservations,no,no,0,no,partial,no,,Not in this sector's bundle (sectors.ts:237); nothing renders. DESCRIBED: gates ReservationForm at page.tsx:661; no table/party-size model behind it
realEstate,memberships,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:237); nothing renders. DESCRIBED: gates the plans fetch at page.tsx:226; store_memberships holds 0 rows in production
realEstate,rentals,no,no,0,no,no,no,timeslot,Not in this sector's bundle (sectors.ts:237); nothing renders. DESCRIBED: zero readers anywhere in src/; pulls timeslot in via withDependencies
realEstate,requests,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:237); nothing renders. DESCRIBED: read by store-experience.ts:118 to show the service-request form
realEstate,listings,yes,no,2,no,partial,no,,Primary engine for this sector. In bundle at sectors.ts:237. DESCRIBED: zero readers; listings render through the generic catalog surface
realEstate,portfolio,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:237); nothing renders. DESCRIBED: gates the fetch at page.tsx:247; store_portfolio holds 0 rows in production despite a complete merchant UI
realEstate,courses,no,no,0,no,yes,no,,Not in this sector's bundle (sectors.ts:237); nothing renders. DESCRIBED: gates the fetch at page.tsx:257
