sector,entity,field,required,type,source_of_truth,exists_today,notes
all,store,name,yes,text,stores.name,yes,Arabic primary; no name_en column on stores unlike products
all,store,slug,yes,text,stores.slug,yes,Public handle used by the /[handle] route
all,store,business_type_id,yes,uuid,stores.business_type_id,yes,Maps to one of the 17 keys in src/lib/catalog.ts:4-20
all,store,description,no,text,stores.description,yes,No description_en counterpart
all,store,logo_url,no,text,stores.logo_url,yes,
all,store,cover_url,no,text,stores.cover_url,yes,Plus cover_position smallint for framing
all,store,phone,yes,text,stores.phone,yes,
all,store,whatsapp,no,text,stores.whatsapp,yes,Primary contact channel in market; used as the fallback CTA in directory-only sectors
all,store,region,yes,text,stores.region,yes,Free text against the 5 keys in src/lib/catalog.ts regions
all,store,area,yes,text,stores.area,yes,Also lb_areas lookup table exists
all,store,address,no,text,stores.address,yes,
all,store,lat/lng,no,numeric,stores.lat / stores.lng,yes,Drives the /map route
all,store,hours,no,jsonb,stores.hours,yes,15 of 33 live stores populate it; legacy opening_hours text also still present
all,store,status,yes,enum,stores.status (store_status),yes,pending/active/suspended/rejected
all,store,plan,yes,enum,stores.plan (store_plan),yes,free/basic/pro/business; gates OS modules via minPlan in sectors.ts
all,store,is_verified,no,boolean,stores.is_verified,yes,Backed by store_verifications and store_verification_docs
all,store,commercial_reg_no,no,text,stores.commercial_reg_no,yes,Plus commercial_reg_verified boolean
all,store,legal_name / tax_no / vat_rate,no,text/numeric,stores.legal_name / tax_no / vat_rate,yes,Invoicing block; vat_inclusive boolean and invoice_prefix alongside
all,store,accepts_delivery / accepts_pickup,no,boolean,stores.accepts_delivery / accepts_pickup,yes,Only meaningful for order sectors
all,store,booking_slot_minutes,no,integer,stores.booking_slot_minutes,yes,Default slot length; the fallback place_booking actually uses in production
all,store,booking_cancel_hours,no,integer,stores.booking_cancel_hours,yes,Notice window enforced by cancel_my_booking (migration 0189)
all,offering,name,yes,text,products.name,yes,
all,offering,item_kind,yes,text,products.item_kind,yes,product / service / digital; migrations 0206 and 0234. Live: 52/13/0
all,offering,price,yes,numeric,products.price,yes,Semantics vary by sector - see realEstate and hospitality rows
all,offering,status,yes,enum,products.status (product_status),yes,active/draft/hidden
food,store,prep_time,no,text,stores.prep_time,yes,Free text
food,store,min_order,no,numeric,stores.min_order,yes,
food,store,delivery zones,no,table,store_delivery_zones,yes,Per-zone fee; orders.delivery_zone_id FK
food,offering,section (menu category),no,uuid,products.section_id -> store_sections,yes,26 live sections
food,offering,modifier groups,no,table,product_modifier_groups,partial,Migration 0194; 0 live rows - built but unused
food,offering,options (add-ons),no,table,product_options,yes,3 live rows
food,offering,spice level / allergens,no,-,-,no,No allergen or dietary-tag field anywhere; a legal requirement in many markets
food,reservation,party_size,no,integer,bookings.party_size,yes,Written by reservation-form.tsx:59
food,reservation,table / seating,yes,-,-,no,No table entity - a restaurant cannot express its floor plan or seat count
retail,offering,brand,no,text,products.brand,yes,
retail,offering,sku,no,text,products.sku,yes,
retail,offering,cost,no,numeric,products.cost,yes,Deliberately NULL-not-zero so margin reports can distinguish - product-form.tsx:142-148
retail,offering,stock,no,integer,products.stock,yes,Plus low_stock_threshold default 5
retail,offering,variants (colour/size),no,table,product_variants,yes,Migration 0181; 6 live rows; apparel gets a colour-to-size matrix builder (product-form.tsx:60)
retail,offering,return window,no,-,-,no,No returns policy field and no RMA entity
services,store,service_area,no,text,stores.service_area,yes,Free text
services,offering,duration_minutes,yes,integer,products.duration_minutes,partial,Column exists but only 1 of 65 live products sets it; also duplicated as attributes.duration in src/lib/attributes.ts:24-26
services,offering,buffer_minutes,no,integer,products.buffer_minutes,yes,Defaults 0
services,offering,booking_allocation_mode,yes,text,products.booking_allocation_mode,partial,provider_exclusive / pooled_providers / capacity_based; set on 1 of 65 live products
services,offering,portfolio work,no,table,store_portfolio,partial,Table exists; 0 live rows
services,request,description,yes,text,service_requests.description,yes,Length validated inside the RLS policy itself
services,request,photos,no,-,-,no,craft_requests has photos jsonb; service_requests does not
services,request,scheduled date,no,-,-,no,A quoted job cannot be put in the diary without manually creating a separate booking
healthcare,store,specialties,no,text,stores.specialties,yes,Free text - not a structured taxonomy
healthcare,store,insurance,no,text,stores.insurance,yes,Free text - no insurer list and no claim model
healthcare,provider,doctor roster,yes,table,doctors,yes,2 live rows
