id,phase,title,description,sector_scope,depends_on,effort,impact,risk,unlocks_sectors,notes,status
B-01,0-safety,Revoke run_trial_maintenance from public and anon,"One REVOKE line closes an unauthenticated state-mutating RPC that can fire trial notifications early, park merchant products and be looped as a cheap DoS. Nothing calls it except pg_cron, which runs as the owner.",all,,XS,high,low,none,"MP-001. Do this first: it is the single highest risk-to-effort ratio in the whole audit. Verify against live role_routine_grants before and after.",done
B-02,0-safety,Move get_push_subs behind the service role and revoke anon,"Have /api/push/hook call get_push_subs with the existing admin client instead of the anon client, then revoke the anon grant and drop the p_secret parameter so the shared secret stops travelling as an RPC argument.",all,,S,high,low,none,"MP-002. This is the fix MJ-A02 has been waiting for since migration 0196 — it was blocked only because the route called as anon. adminClientIfConfigured() already exists; this is a legitimate fourth use of it.",done
B-03,0-safety,Add an hr staff permission and move HR tables off can_manage_store,"can_manage_store is true for any store_staff row. Add an hr key to the permission map and move store_employees, employee_attendance, employee_advances, employee_breaks, payroll_runs, payroll_lines, employee_devices, employee_enrolments and clock_attempts to is_store_owner OR staff_can(store_id,'hr').",all,,M,high,medium,none,"MP-003 and MP-004. The most serious design finding in the audit: today a part-time cashier can read every colleague's salary, national ID number and GPS clock-in history, and can read a live enrolment code to register their own phone against a colleague. Ship behind an RLS test (B-05) so the change is provable.",done
B-04,0-safety,Add WITH CHECK to the three permissive UPDATE policies,"craft_requests (customer can self-mark completed and reassign provider), product_reviews (can repoint product_id while keeping a stale verified flag), and store_assets storage objects (can be moved over another store's path prefix).",all,,S,high,low,none,"MP-009, MP-011, MP-012. The craft_requests one is a trust primitive, not a nicety: a verified craft review is currently self-attestable, which makes the crafts vertical's whole trust story hollow before it has a single provider.",done
B-05,0-safety,Write the first RLS test suite,"supabase/tests already has one file and an established pattern. Add tests covering the six policies most likely to leak: store_employees, employee_enrolments, leads, checkout_intents, orders and craft_requests, each using begin / set local role / set local request.jwt.claims / rollback.",all,,M,high,low,none,"MP-069. 399 create-policy statements are covered by one SQL test today. Four of the tests in this suite are expected to FAIL on first run, which is the point. This is the cheapest permanent coverage available and it makes B-03 verifiable.",open
B-06,0-safety,Add a CI gate for SECURITY DEFINER revokes,"A script that fails a migration adding a SECURITY DEFINER function without a matching REVOKE line. 55 callable functions currently have none.",all,,S,medium,low,none,"MP-013. Would have caught migrations 0248, 0254 and 0256, whose revoke-from-public-only no-ops are documented in 0258. Convention plus enforcement, not convention alone.",open
B-07,0-safety,Rate-limit the anonymous guest write paths,"Apply the create_lead 5-per-phone-per-hour pattern to record_checkout_intent and to craft_requests inserts, and to the clock punch options step.",all,,S,medium,low,none,"MP-006, MP-008, MP-017. The rate-limit shape already exists in 0190_lead_engine.sql:98-104 and 0264. This is copying a pattern already in the codebase, not designing one.",done
B-08,1-trust,Fix the activity centre's four defects,"Add Arabic lead status labels, pass the active locale to the date formatter, map statuses to Badge variants, and fix the chevron direction. All four sit on the screen the new bottom tab points at.",all,,S,high,low,none,"MP-020, MP-021, MP-022, MP-050. The lead status is the only place in the customer app that leaks a database enum to a customer, and it does it on the flagship new screen.",done
B-09,1-trust,Fix the dark-mode accent pair,"Add an accent variant to ui/badge.tsx with a foreground that clears AA on the dark theme, then convert the five components that hand-rolled bg-accent-soft with text-accent-foreground (measured 1.21:1 in dark).",all,,S,high,low,none,"MP-045. The ""needs you"" activity badge is invisible on a dark phone. Note the root cause: Badge had no accent variant, so five callers left the system and lost the AA discipline with it — add the variant before pushing adoption anywhere.",done
B-10,1-trust,Add dir=auto to every user-supplied name,"Store name, product name, customer name, review author, address line. Currently zero uses of dir=auto anywhere.",all,,S,high,low,none,"MP-048. Latin-named live stores already exist alongside Arabic ones. This is the single highest-value RTL fix and it is one attribute per site.",done
B-11,1-trust,Add a skip link and give main an id,"Both layouts. WCAG 2.4.1.",all,,XS,medium,low,none,"MP-047. Two lines. A keyboard user currently tabs the whole header on all 137 routes.",done
B-12,1-trust,Rewrite the privacy policy against the real data map,"Enumerate every collected data type with retention periods: pre-order phone capture, employee GPS and national ID, store-visit telemetry, search logs, device push tokens, analytics. Add a self-serve account-deletion route.",all,,M,high,low,none,"MP-005. The current four-bullet page claims the opposite of what the code does. This is also a hard blocker for B-25 — Apple App Privacy and Google Play Data Safety both need per-data-type declarations this page cannot back.",open
