issue_id,category,severity,priority,affected_role,affected_device,page_or_feature,file_path,line_number,issue_description,business_impact,user_impact,technical_impact,recommended_fix,estimated_effort,owner,status
ISS-001,Security,High,P0,Sub-admin,All,"Admin section pages have no per-section guard","src/app/[lang]/(dashboard)/admin/layout.tsx",38,"No admin page calls admin_can(section); the only gate is the layout's is-any-admin check. A sub-admin granted one section can open any other admin route by URL and the page loads and fetches data. admin_can() is never invoked from app code, only from RLS.","Insider data leak across admin sections; weakens least-privilege promise to future admin hires","Sub-admin sees data for sections they were never granted","Read-path relies entirely on table-level RLS which is not uniformly admin_can-gated","Add an explicit admin_can(section) check at the top of every admin/*/page.tsx and redirect if false","M",Security,open
ISS-002,Security,High,P0,Merchant Staff,All,"Business OS tables enforce can_manage_store not staff_can","supabase/migrations/0069_business_os_inventory_pos.sql",1,"Sidebar hides customers/inventory/pos/suppliers/tasks from staff without the mapped permission, but RLS on those tables (0068/0069/0070) uses can_manage_store (any staff) instead of staff_can(perm). A bookings-only staffer can read/write CRM, inventory, POS via direct URL or API.","Owner believes staff access is scoped when it is not; data exposure to junior staff","Staff reach modules the owner intended to hide","Nav gate is cosmetic for OS modules; real boundary is only 3 perms orders/products/bookings","Introduce granular perm keys for OS modules and re-point RLS to staff_can, or document that all staff have full OS access","L",Security,open
ISS-003,Security,Medium,P1,Sub-admin,All,"Admin write RLS not uniformly migrated to admin_can","supabase/migrations/0149_admin_roles_granular.sql",50,"Only jobs/freelance/wholesale/messages/questions/growth/deals/pages/audit were re-pointed to admin_can(section). stores/orders/reviews/verifications/subscriptions/delivery/academy/leaders/business_types/taxonomy/settings/users write policies live elsewhere (likely is_super_admin), so a sub-admin's write path is inconsistent.","Unpredictable sub-admin capability; some sections silently super-only","Sub-admin actions may fail or succeed unexpectedly","Policy fragmentation across migrations","Audit every admin-managed table and standardize write policies on admin_can(section)","L",Security,open
ISS-004,UX,High,P0,Merchant,All,"Dashboard bloat: ~22 sidebar items on day one","src/lib/sectors.ts",165,"A new store faces ~20-22 sidebar modules, ~13 Pro-locked, nearly all pointing at zero-data pages. No Lite mode, no progressive disclosure. Target user is a low-tech small business.","Highest churn risk for the core persona; overwhelmed merchants abandon after first session","Cognitive overload; wall of locks","Every sector lists all modules; no simplified default","Add a Lite/starter mode: OS home leads with 3 actions (add product, share store, messages), collapse advanced modules behind a toggle","M",Product,open
ISS-005,Business,High,P1,Merchant,All,"Retention tools (CRM/reports/POS) are all Pro-locked","src/lib/sectors.ts",118,"Customers, reports, POS, tasks, inventory, automations, campaigns, kitchen, suppliers, accounting, coupons, doctors, tools are all pro:true. A free merchant with 0 orders sees ProGate upsell instead of an empty CRM, blocking the very tools that prove value.","Blocks activation of free merchants; upsell-before-value hurts conversion","Free merchant cannot experience retention value","ProGate short-circuits before empty-state guidance","Give limited free access (read-only CRM, basic reports) to demonstrate value before paywall","M",Business,open
ISS-006,Admin,Medium,P1,Super Admin,Desktop,"Verification approve AND reject are one-click with no confirm","src/components/admin-verification-actions.tsx",49,"Both approve and reject of a submitted store credential fire immediately with no window.confirm. Rejecting a legal credential is consequential and irreversible in UX terms.","Accidental rejection of merchant credentials damages trust and support load","Admin can misclick and reject a verification","No confirmation dialog on a consequential action","Add confirm() to reject (and ideally approve) in the verification actions component","S",Design,open
ISS-007,Admin,Medium,P1,Super Admin,Desktop,"Subscription activate has no confirmation","src/components/admin-subs-client.tsx",113,"Manual Pro activation inserts a payment row and flips the store to pro/verified with a single click and no confirmation.","Accidental Pro grants distort billing records and revenue reporting","Admin can misclick and grant paid plan","Payment + plan mutation without guard","Add confirmation dialog summarizing store, period, and price before activating","S",Design,open
ISS-008,Security,Medium,P1,Super Admin,Desktop,"Granting admin permissions has no confirm dialog","src/components/admin-users-client.tsx",87,"savePerms grants a user access to admin sections (privilege-escalation-class action) with one click, no confirmation. DB trigger enforces super-only, but the UX has no safeguard.","Accidental admin grants are a security-governance risk","Admin can misclick and elevate a user","Sensitive action lacks confirmation","Add a confirmation dialog listing the sections being granted/revoked","S",Security,open
ISS-009,Admin,Medium,P1,Super Admin,All,"Mass push broadcast is not audit-logged","src/components/admin-broadcast.tsx",21,"AdminBroadcast sends Web Push to all subscribers via /api/push/broadcast. It is confirmed but never calls logAdminAction, so a mass-notification action leaves no audit trail.","Untracked mass-communication; no accountability for spam or mistakes","Users receive broadcasts with no admin trail","Audit coverage gap","Call logAdminAction('created','message',null,{broadcast:true}) after a successful broadcast","S",Backend,open
ISS-010,Admin,Medium,P1,Super Admin,Desktop,"endClearance lacks confirm while endFlash has one","src/components/admin-deals-client.tsx",69,"Deals page: endFlash is confirmed (line 54) but endClearance is one-click (line 69). Inconsistent guarding of equivalent destructive actions.","Accidental end of a clearance campaign","Admin can misclick","Inconsistent confirmation pattern","Add confirm() to endClearance to match endFlash","S",Frontend,open
