issue_id,title,category,subsystem,severity,confidence,finding_type,affected_role,affected_route,file_path,function_or_component,line_number,database_entity,description,evidence,reproduction_steps,user_impact,business_impact,security_impact,scalability_impact,recommended_fix,estimated_effort,dependencies,test_required,owner,status
MJ-R01,Membership/enrollment double-renew race,Concurrency,Vertical engines,High,Confirmed,Data integrity,customer,merchant store page,supabase/migrations/0192_membership_enrollment.sql,subscribe_membership/enroll_course,66;104,store_memberships;course_enrollments,"exists-then-insert TOCTOU with no unique index; concurrent/double-click creates duplicate active membership/enrollment","0192:66,104 read then unguarded insert; no unique constraint","Two concurrent subscribe calls for same plan+customer",Duplicate active memberships,Corrupted member counts/future billing,none,Latent until concurrency,"Partial unique index where status active/enrolled + on conflict do nothing",S,DB-01,Contention test,DB,Open
MJ-R02,Anonymous stay requests block inventory,Concurrency,Accommodation,High,Confirmed,Security,anon,store page (hospitality),supabase/migrations/0191_accommodation_engine.sql,place_stay_booking,—,stay_bookings,"anon+unrate-limited; requested rows counted by exclusion constraint block real bookings","grant to anon; no rate limit; exclusion counts status=requested","POST stay requests over all dates/units",Legit guests see dates_taken,Denial of hospitality inventory,Public abuse vector,Worsens with exposure,"Rate-limit guest stays; expire stale requested rows; consider auth",S,—,Contention test,DB,Open
MJ-R03,Ticket capacity holdable by anon spam; no idempotency,Concurrency,Events,Medium,Confirmed,Security,anon,store page (events),supabase/migrations/0193_event_tickets.sql,buy_tickets,55,event_tickets;event_ticket_types,"anon unlimited; reserved holds sold with no expiry; double-click double-increments","grant to anon; no rate limit; status reserved no expiry","Reserve up to capacity repeatedly",Sold-out for real buyers,Denial of ticket sales,Public abuse,Worsens with exposure,"Rate-limit by phone/hour; idempotency; expire unpaid reserved",S,—,Contention test,DB,Open
MJ-R04,Coupon over-redemption race,Concurrency,Coupons,High,Confirmed,Data integrity,customer,checkout,supabase/migrations/0028_coupons.sql,validate_coupon+trigger,56;70,coupons,"used_count bumped unconditionally by after-insert trigger; no per-customer cap","0028:56 read check; :70 unconditional increment","Two concurrent checkouts with max_uses=1 coupon",Extra discounts,Revenue loss,Financial abuse,Worsens with traffic,"Conditional bump where used_count<max_uses; or coupon_redemptions unique(coupon,customer)",M,—,Contention test,DB,Open
MJ-R05,record_order_payment double-submit race,Concurrency,Payments,Medium,Confirmed,Data integrity,merchant,merchant orders,supabase/migrations/0086_branches_and_ledger_fixes.sql,record_order_payment,78,order_payments,"read-sum-then-insert without lock/idempotency","0086:78 sum then insert","Two identical payment calls",Double-recorded payment,Ledger inaccuracy,none,Low,"select for update on order or idempotency key",S,—,Test,DB,Open
MJ-R06,POS stock decrement non-atomic; silently oversells,Concurrency,POS,Medium,Confirmed,Data integrity,merchant staff,POS,supabase/migrations/0085_branch_on_transactions.sql,pos_record_sale,462,products,"greatest(stock-qty,0) read-modify-write; never rejects","0085:462","Two concurrent POS sales of last unit",Oversell,Inventory inaccuracy,none,Low,"Atomic update where stock>=qty + raise (mirror 0073)",S,—,Test,DB,Open
MJ-R07,Booking capacity advisory lock keyed on exact start,Concurrency,Booking,Low,High,Data integrity,customer,booking,supabase/migrations/0174_booking_engine.sql,place_booking,356,bookings,"lock on v_start string but count uses range overlap","0174:356","Overlapping ranges with different starts",Capacity exceeded,Overbooking edge case,none,Low,"Lock on shared slot bucket or slot-row for update",M,—,Contention test,DB,Open
MJ-R08,Guest idempotency key global-unique vs store-scoped lookup,Concurrency,Orders,Low,High,Bug,anon,checkout,supabase/migrations/0172_delivery_zones_fees.sql,place_guest_order,47,orders,"unique on (idempotency_key) but recovery filters by store_id -> returns NULL on cross-store collision","0172:47 vs recovery select","Guest reuses another store key",Order returns null,Confusing failure,Minor DoS,Low,"Make unique (store_id, idempotency_key)",S,—,Test,DB,Open
MJ-R09,Product-page order lacks idempotency key,Concurrency,Orders,Medium,Confirmed,Bug,customer,product/[id],src/components/product-order.tsx,confirmOrder,179,orders,"place_customer_order called without p_idempotency_key unlike cart","product-order.tsx:179 no key vs store-products.tsx:521","Retry a stalled buy-now",Duplicate orders,Duplicate fulfillment,none,Low,"Generate idempotency key on checkout entry",S,—,Test,FE,Open
MJ-R10,Unvalidated privileged inputs (role/assignee),Concurrency,Authz,Low,Confirmed,Security,merchant owner,merchant staff/leads,supabase/migrations/0018_store_staff.sql,add_store_staff/update_lead_status,52;141,store_staff;leads,"p_role free-text; assigned_to not verified as store member","0018:52; 0190:141","Assign lead to arbitrary user",—,Data inconsistency,Low authz,Low,"Whitelist roles; verify assignee membership",S,—,Test,DB,Open
MJ-A01,store_verifications public read exposes docs+numbers; no status filter,Security,RLS,High,Confirmed,Security,anon,storefront/public,supabase/migrations/0126_store_verifications.sql,store_verifications_public_read,32,store_verifications,"using(true) returns all rows/cols incl doc_url+number for submitted/rejected","0126:32 using(true)","Query store_verifications as anon","Sees others licence docs","Fake verified badge; privacy breach","Document+PII leak (A01)",none,"using(status=verified); badge-safe columns via view; docs owner/admin only",S,—,RLS test,DB,Open
