issue_id,area,severity,title,evidence,status,resolution
MP2-001,trust,critical,Merchant can award themselves a verification badge,"Executed as merchant: insert status='verified' succeeded; public read returned it; admin queue returned 0",fixed,0272 guard trigger forces browser writes to 'submitted'
MP2-002,trust,high,Verified-purchase badge settable by the reviewer,"Executed: review landed unverified, then set verified=true succeeded",fixed,0273 recomputes on UPDATE
MP2-003,privacy,critical,Any staff member reads salaries IDs GPS punches and live enrolment codes,"Executed as products-only cashier: 3 salary rows, 8 enrolment codes, 5 GPS punches on a store not theirs",fixed,0274 nine HR policies narrowed to owner-or-admin
MP2-004,integrity,critical,Two customers can take the same appointment slot,"All 22 live bookings have starts_at and allocation_mode NULL so both exclusion constraints are unreachable; double insert succeeded",fixed,0275 partial unique indexes on the legacy shape
MP2-005,security,high,Any signed-in user can upload anywhere in the public store-assets bucket,"storage policy with check is (bucket_id='store-assets') only; digital-goods scopes by owner and this does not",open,"Needs upload path normalisation across ~15 call sites first; fixing the policy alone would break wholesale/gigs/crafts/listings uploads"
MP2-006,integrity,medium,Solo practitioner slots are unguarded,"allocation_mode is NULL on all legacy bookings so a solo provider cannot be told apart from a restaurant table",open,Make the booking path write allocation_mode; belongs with the pilot
MP2-007,security,high,get_push_subs and run_trial_maintenance are anon-callable,"has_function_privilege('anon',...)=true for both; get_push_subs returns any user's push keys given a shared secret",fixed,0274 revokes both from public/anon/authenticated
MP2-008,trust,high,is_verified means paid but is displayed as reviewed and approved,"admin-subs-client.tsx:127 sets is_verified while recording a payment; homepage trust strip reads متاجر موثّقة",open,Owner decision — rename the label or separate the concepts. Not changed unilaterally.
MP2-009,trust,medium,product_reviews requires no purchase while store reviews do,"reviews_insert_own requires has_store_purchase; product_reviews_insert_own does not",open,Policy choice; defensible now that the badge is honest
MP2-010,data,low,One store review has no transaction behind it,"Written 2026-07-01, predates has_store_purchase; 4 of 5 others are backed by bookings",open,Not deleted — a real customer's review. Show provenance rather than erase.
MP2-011,integrity,medium,Enrollment membership and ticket statuses have no CHECK constraint,"Verified against pg_constraint: bare text columns with defaults only",open,Belongs with whichever sector's pilot needs them
MP2-012,audit-quality,medium,Audit claim of authorship reassignment was false,"Tested: update customer_id refused with 42501 — Postgres uses USING as WITH CHECK when omitted",closed,0273 rewritten to fix only the real half
