issue_id,title,area,page,route,role,device,language,severity,issue_type,current_behavior,user_impact,business_impact,recommended_solution,shared_component,affected_file,estimated_effort,priority,evidence,status
MJ-D01,Footer links are 20px tall — below the 44px touch minimum,Shared footer,All pages,ALL (127 routes),All,Mobile+Desktop,Both,Critical,Accessibility,"Footer nav links render 20px high (للتجّار 31x20, المتاجر 38x20, الجملة 38x20, الأسعار 44x20, من نحن 44x20). 29-34 sub-44px interactive elements per page.",Mis-taps on mobile; users with motor impairment cannot reliably hit links,Every page on the platform fails WCAG 2.5.5; footer navigation effectively unusable on phones,"Add vertical padding to the footer link class (e.g. py-2 with -my-2 to preserve visual rhythm). One line, fixes all 127 routes.",site-footer,src/components/site-footer.tsx:113,XS,P0,Measured at 390x844 and 1440x900 — identical on every route,Open
MJ-D02,Seven form inputs on the Sunday Market page have no accessible name,Market,Sunday Market,/ar/market,Customer,All,Both,High,Accessibility,"7 inputs with no aria-label, no <label for>, and not wrapped in a label",Screen-reader users cannot tell what the filter controls do,Excludes assistive-tech users from a whole section; WCAG 4.1.2 failure,Wrap each control in the existing <Field> primitive or add aria-label,Field,src/app/[lang]/(site)/market/page.tsx,S,P0,inputsNoLabel=7 measured at runtime,Open
MJ-D03,212 hardcoded Tailwind palette colours bypass the token system,Codebase-wide,Dashboard + several site pages,Multiple,Merchant+Admin,All,Both,High,Brand consistency,"212 raw palette classes (bg-blue-600, text-emerald-500 …) outside the token layer; concentrated under (dashboard)/",Colours do not flip with the dark theme — latent dark-mode contrast defects across merchant surfaces,"Business OS, the actual differentiator, looks less coherent than the storefront",Convert to semantic tokens (bg-primary / text-success / bg-surface-muted …) file by file using the offender list,All dashboard pages,"(dashboard)/layout.tsx; merchant/page.tsx; merchant/[storeId]/{accounting,automations,campaigns,reports,subscription}; (site)/{bookings,delivery,offers,merchants}; hub/{page,leaders}",L,P1,Exhaustive grep across src/**/*.tsx,Open
MJ-D04,Header icon buttons are 36x36 — under the 44px minimum,Shared header,All pages,ALL,All,Mobile,Both,Medium,Accessibility,"Icon buttons (menu, theme toggle, bells) measure 36x36; language pills 63x28",Small targets on phones,Consistent sub-standard touch ergonomics platform-wide,Raise icon-button hit area to 44x44 (visual size can stay 36 via padding),site-header / theme-toggle,src/components/site-header.tsx; src/components/theme-toggle.tsx,S,P1,Measured at 390x844,Open
MJ-D05,Search input on homepage and explore has no accessible name,Discovery,Homepage / Explore,/ar and /ar/explore,Customer,All,Both,Medium,Accessibility,1 input without an accessible name on each,Screen-reader users get an unlabelled edit field on the primary discovery control,Weakens the most important entry point for assistive-tech users,Add aria-label to the search input,search field,src/components/*search*,XS,P1,inputsNoLabel=1 measured on both routes,Open
MJ-D06,Core UI primitives missing — Table, Toast, Modal/Drawer, Pagination,Design system,N/A,N/A,All,All,Both,High,Component,"ui/ ships 14 primitives; no Table, Toast, Modal/Drawer (only confirm-dialog), Pagination, Switch, Select, Breadcrumb, Chart container",Inconsistent behaviour between pages that hand-roll these,Root cause of MJ-D03 — absent primitives force ad-hoc markup that carries hardcoded colours,"Build the four highest-value primitives first (Table, Toast, Modal, Pagination), then migrate pages onto them",ui/,src/components/ui/,L,P1,Directory listing vs component audit,Open
MJ-D07,30 raw hex literals and 22 inline style blocks in TSX,Codebase-wide,Multiple,Multiple,All,All,Both,Low,Brand consistency,Hex values and inline style objects hardcoded in components,None directly visible,Small ongoing drift away from the token layer,Replace with tokens where they are colours; keep only genuinely dynamic values inline,Various,src/**/*.tsx,M,P2,Exhaustive grep,Open
MJ-D08,No visual-regression tooling,Tooling,N/A,N/A,All,All,Both,Medium,Tooling,Vitest only; no Playwright or screenshot baselines,None directly,Any redesign batch risks silent visual regressions across 127 routes,"Add Playwright with baselines for ~12 key routes x 2 viewports x 2 themes x 2 languages — after Checkpoint 0 approval",N/A,package.json,M,P2,package.json inspection,Deferred
MJ-D09,Dashboard and admin surfaces never runtime-audited,Coverage gap,Merchant + Admin,/[lang]/(dashboard)/**,Merchant+Admin,All,Both,Informational,Coverage,Auth-gated; the iframe harness redirects to login,Unknown — defects there are unmeasured,"The surfaces carrying the most hardcoded colour are the least verified",Run the same harness with an authenticated session before the dashboard batch,N/A,N/A,S,P1,Harness limitation,Open
MJ-D10,Screenshots unavailable — no human visual-composition review,Coverage gap,All,All,All,All,Both,Informational,Coverage,Browser pane not displayed; page does not composite frames; all screenshot calls timed out,None,"Composition, hierarchy and 'does it look good' claims are unverified — only measurable properties were audited",Re-run with the Browser pane displayed to capture the current-state screenshot set,N/A,N/A,S,P1,Tool error: 'the Browser pane is not displayed',Open
